Mod,WR (Main cat.),WR for,Runners,Difficulty,Optimization,Guides,Segmented/TAS,Extra,RTSL,ModDB,Steam,HL1 mov,Tags,,,,,,,,,,,,,WR for
Half-Life: Somatic,1:32.655 / Lyren,157 days,1,☆☆☆☆☆,★☆☆☆☆,-,-,-,✓,✓,🞪,?,"Propclip, Edgebug",,,,,,,,,,,,,
Half-Shell,1:30.225 / Lyren,485 days,1,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,485 
Hangover,1:29.500 / PenPerson,1372 days,3,★★★★★,★★☆☆☆,-,Lyren's 36.405,-,✓,✓,🞪,?,,,,,,,,,,,,,,1372 
Hardware Upgrade: Remastered,8:53.085 / Lyren,164 days,1,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,Propclip,,,,,,,,,,,,,
Hells Mines,1:34.770 / Lyren,338 days,5,★☆☆☆☆,☆☆☆☆☆,-,-,VehicleRonald with mirskiy Coop,✓,✓,🞪,✓,,,,,,,,,,,,,,338 
Hostage,2:16.155 / Lyren,314 days,1,★☆☆☆☆,★☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,
Hypnagogia,4:03.060 / Lyren,126 days,1,★☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,
ICE,19:48 / Lyren,484 days,1,★★★☆☆,★★★☆☆,-,-,Lyren's 2020 marathon run,🞪,✓,🞪,?,?,,,,,,,,,,,,,484 
Insomnia,2:42.91 / owerfloww,206 days,2,★☆☆☆☆,☆☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,206 
Jolly's Hardcore Mod,3:44.595 / Lyren,548 days,2,★★★☆☆,★★★☆☆,-,-,-,🞪,✓,🞪,?,,,,,,,,,,,,,,548 
Joutomaa,3:34.420 / Enterprise,351 days,6,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,✓,,,,,,,,,,,,,,351 
Kill the Monk,17:51 / Lyren,1466 days,6,★★★☆☆,★★☆☆☆,-,Peng's 15:56,downloads,🞪,🞪,🞪,?,State preserve (timescale),,,,,,,,,,,,,1466 
La Habana Libre,32.73 / Lyren,485 days,1,★★★☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,485 
Lakeview Breach,8.22 / Lyren,,,,,,,,,,,?,,,,,,,,,,,,,,
Leon's Mappack 1,3:02.475 / PenPerson,171 days,1,★★☆☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,?,Old Engine,,,,,,,,,,,,,54 
